ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_mandante,gols_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante
2012,6,16,6,5,Estádio Beira-Rio,Paulo César de Oliveira,Internacional,Botafogo,Dorival Júnior,Oswaldo de Oliveira,4,7,38750000,12650000,27.6,26.5,1,2,1,0,0,4,10,14,14,10,1,1,1,1,11,8,4,4
2012,7,22,0,11,Estádio Beira-Rio,Paulo Henrique de Godoy Bezerra,Internacional,Atlético-GO,Fernandão,Jairo,7,20,11650000,4450000,27.8,27.6,4,1,1,1,3,7,17,16,15,16,4,2,1,3,8,21,2,7
2012,10,17,3,31,Estádio Beira-Rio,Wagner do Nascimento Magalhães,Internacional,Figueirense FC,Fernandão,Márcio Goiano,6,19,36350000,5350000,26.8,25.7,2,3,1,1,5,8,21,23,21,20,1,4,4,1,18,10,6,4
2012,10,27,6,33,Estádio Beira-Rio,Franscisco Carlos do Nascimento,Internacional,Palmeiras,Fernandão,Gilson Kleina,6,18,14500000,15850000,29.3,27,2,1,1,1,4,7,23,18,18,20,1,2,2,2,7,17,2,10
2012,5,20,0,1,Estádio São Januário,Celio Amorim,Vasco da Gama,Grêmio,Cristóvão Borges,Vanderlei Luxemburgo,3,15,8700000,16350000,26.2,25.8,2,1,1,1,4,5,19,14,14,18,7,3,2,1,11,15,7,2
2012,6,30,6,7,Estádio São Januário,Fabrício Neves Corrêa,Vasco da Gama,Ponte Preta,Cristóvão Borges,Gilson Kleina,3,9,17750000,2800000,28.7,26.1,3,2,1,2,6,5,20,11,11,19,1,1,2,1,16,9,8,4
2012,7,15,0,9,Estádio São Januário,Márcio Chagas da Silva,Vasco da Gama,Atlético-GO,Cristóvão Borges,Jairo,3,20,17650000,4000000,27.8,29.3,1,0,1,0,4,7,15,16,14,15,4,2,2,2,13,14,8,6
2012,7,21,6,11,Estádio São Januário,Wagner Reway,Vasco da Gama,Santos FC,Cristóvão Borges,Muricy Ramalho,2,14,15850000,16050000,27.6,27,2,0,1,0,7,2,17,12,11,17,1,6,0,1,18,5,3,2
2012,9,1,6,21,Estádio São Januário,Héber Lopes,Vasco da Gama,Portuguesa,Cristóvão Borges,Geninho,4,13,16750000,4050000,28.6,28.3,2,0,1,0,5,6,19,13,12,19,3,3,2,1,13,15,6,6
2012,9,12,3,24,Estádio São Januário,Wilton Sampaio,Vasco da Gama,Palmeiras,Gaúcho,Luiz Felipe Scolari,4,18,15250000,16200000,27.5,26.4,3,1,1,1,4,5,18,17,17,17,6,3,0,3,10,12,6,5
