ano_campeonato,mes,dia,week_day,rodada,estadio,arbitro,time_mandante,time_visitante,tecnico_mandante,tecnico_visitante,colocacao_mandante,colocacao_visitante,valor_equipe_titular_mandante,valor_equipe_titular_visitante,idade_media_titular_mandante,idade_media_titular_visitante,gols_1_tempo_mandante,gols_1_tempo_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,chutes_bola_parada_mandante,chutes_bola_parada_visitante,defesas_mandante,defesas_visitante,impedimentos_mandante,impedimentos_visitante,chutes_mandante,chutes_visitante,chutes_fora_mandante,chutes_fora_visitante,winner
2008,7,9,3,10,2,7,7,6,11,2,20,8,25700000,12300000,27.6,24.3,1.0,0.0,6,7,18,19,19,15,3,2,2,1,13,10,8,4,1
2008,7,12,6,11,2,14,7,12,11,13,20,2,30100000,6700000,28.0,26.1,0.0,0.0,6,3,22,13,11,20,2,4,3,1,11,8,6,3,1
2008,7,19,6,13,2,17,7,7,11,27,18,7,32100000,5200000,28.0,24.0,0.0,0.0,5,7,21,10,10,21,1,3,5,1,11,5,3,4,1
2008,8,6,3,18,2,14,7,10,11,11,19,4,16950000,28700000,27.7,27.6,0.0,0.0,7,4,16,16,14,14,2,3,1,2,23,16,12,11,1
2008,8,17,0,20,2,29,7,18,10,24,19,12,18400000,9150000,26.5,25.7,0.0,0.0,8,3,20,14,13,19,4,6,1,1,13,17,2,9,1
2008,9,6,6,24,2,13,7,16,10,17,15,1,20600000,20200000,26.8,25.3,0.0,0.0,2,4,19,11,11,17,7,3,2,3,12,19,5,7,0
2008,10,25,6,31,2,8,7,0,12,0,15,3,20500000,18300000,27.0,26.8,3.0,0.0,7,3,18,15,14,18,1,6,1,4,20,9,6,6,1
2008,11,2,0,33,2,4,7,9,12,26,14,19,20500000,9000000,27.1,24.1,0.0,0.0,7,4,10,19,19,9,2,5,0,1,19,8,6,4,2
2008,12,7,0,38,2,4,7,15,12,29,13,20,20200000,4150000,26.0,24.9,0.0,0.0,4,4,11,18,17,11,5,2,0,3,10,20,5,12,0
2008,6,14,6,6,7,22,8,6,13,2,14,5,8200000,10400000,27.1,25.8,1.0,0.0,12,3,13,13,13,13,1,4,3,0,20,7,9,3,1
2008,6,28,6,8,7,4,8,4,13,3,8,18,12400000,21100000,27.1,25.6,0.0,0.0,6,3,10,13,12,10,1,4,3,0,19,8,6,3,0
2008,8,10,0,19,7,30,8,1,13,1,16,2,7300000,20900000,27.1,25.8,1.0,0.0,7,4,11,14,14,11,2,5,3,0,14,11,4,5,1
2008,8,21,4,21,7,31,8,9,13,30,16,15,6250000,11450000,27.0,23.9,0.0,0.0,6,2,8,19,19,7,3,3,0,4,16,11,10,5,2
2008,10,11,6,29,7,9,8,13,13,14,18,6,6900000,17900000,27.9,24.3,0.0,0.0,7,4,16,14,14,16,3,2,3,0,14,12,5,7,0
2008,10,19,0,30,7,17,8,16,13,17,18,1,6300000,20800000,27.1,23.3,0.0,0.0,11,4,17,12,10,17,1,8,3,1,16,6,5,3,1
2008,10,29,3,32,7,15,8,15,13,16,17,20,6250000,4900000,26.1,25.9,1.0,0.0,12,5,12,15,14,11,4,7,4,1,18,11,7,2,1
2008,5,10,6,1,8,20,9,16,14,17,14,6,28400000,10100000,27.3,24.4,0.0,0.0,5,4,12,10,9,12,2,5,3,1,19,8,9,5,2
2008,6,7,6,5,8,3,9,18,14,23,18,7,29700000,7150000,27.9,25.1,4.0,0.0,14,3,6,15,14,6,0,7,3,1,23,6,11,3,1
2008,6,21,6,7,8,24,9,14,14,15,6,12,26400000,9400000,28.7,29.2,0.0,0.0,8,5,12,12,10,12,3,2,1,1,19,16,4,11,1
2008,7,6,0,9,8,0,9,15,14,25,7,19,33500000,4200000,28.4,25.4,1.0,0.0,9,6,16,13,12,15,3,7,4,0,19,11,6,3,0
2008,7,13,0,11,8,4,9,0,14,0,7,5,33800000,26100000,27.8,27.4,1.0,0.0,15,3,9,14,12,9,1,8,2,0,19,5,6,3,1
2008,7,20,0,13,8,0,9,8,14,20,5,12,30150000,11750000,26.3,27.5,1.0,0.0,9,7,12,7,7,12,2,6,3,0,22,10,11,7,1
2008,7,27,0,15,8,0,9,17,14,22,6,16,23150000,7600000,28.0,28.3,0.0,0.0,4,2,11,16,15,11,3,5,3,2,18,8,5,3,1
2008,8,3,0,17,8,8,9,9,14,9,6,12,24850000,12450000,26.7,24.0,2.0,0.0,2,5,18,14,13,16,3,1,1,0,5,12,1,8,1
2008,8,31,0,23,8,4,9,4,14,4,5,17,36700000,15900000,27.1,27.4,0.0,0.0,4,11,9,12,12,8,3,2,2,1,11,14,4,6,0
2008,9,14,0,25,8,0,9,5,14,5,6,5,32800000,29100000,27.2,28.0,1.0,0.0,8,8,9,17,17,8,7,0,0,4,10,19,6,4,1
2008,9,28,0,27,8,14,9,1,14,1,4,3,30100000,34100000,27.5,24.6,0.0,0.0,4,3,10,11,10,9,4,3,0,0,11,11,5,6,1
2008,10,9,4,29,8,21,9,2,14,2,3,15,39700000,4350000,27.8,26.5,0.0,0.0,7,6,15,10,10,15,1,1,1,6,14,8,8,3,1
2008,11,2,0,33,8,22,9,11,14,12,1,8,39200000,17200000,27.7,26.2,1.0,0.0,5,2,7,11,11,6,2,4,2,2,14,6,4,3,1
2008,11,30,0,37,8,13,9,3,14,18,1,13,39700000,20600000,27.8,26.7,0.0,0.0,4,2,7,10,10,7,3,5,1,1,16,7,6,1,0
2008,5,11,0,1,9,17,10,0,15,0,4,18,6250000,27950000,25.5,27.0,0.0,0.0,5,4,14,14,13,14,3,3,4,2,13,5,6,2,1
2008,6,1,0,4,9,4,10,1,15,1,7,1,4250000,23650000,26.4,25.1,0.0,0.0,14,2,13,6,6,12,1,7,0,4,21,7,6,3,0
2008,6,14,6,6,9,18,10,12,15,13,13,8,1650000,3450000,26.2,25.9,0.0,0.0,7,5,18,9,9,16,1,3,5,4,12,10,6,6,0
2008,6,21,6,7,9,28,10,3,15,26,16,20,5150000,12400000,26.1,25.3,1.0,0.0,2,4,13,14,13,11,7,1,2,1,11,18,5,8,1
2008,7,9,3,10,9,14,10,17,15,22,16,9,5300000,11400000,25.0,27.0,0.0,0.0,7,6,14,11,11,14,3,4,1,2,21,17,6,9,1
2008,7,17,4,12,9,32,10,5,15,5,11,1,6400000,28600000,23.5,27.0,1.0,0.0,4,9,13,8,6,13,11,3,2,3,12,28,5,8,1
2008,7,23,3,14,9,33,10,15,15,31,10,20,6200000,3550000,23.5,25.7,0.0,0.0,8,1,9,8,8,9,1,6,2,2,17,4,7,1,1
2008,7,31,4,16,9,30,10,16,15,17,7,1,6550000,11500000,24.7,24.9,0.0,0.0,8,1,14,18,18,14,1,6,0,4,26,3,11,2,2
2008,8,10,0,19,9,34,10,14,15,15,5,9,9800000,8450000,25.6,28.2,2.0,0.0,5,4,15,12,12,14,4,2,4,2,12,12,4,4,1
2008,8,20,3,21,9,7,10,7,15,27,7,9,10000000,9950000,24.6,23.6,1.0,0.0,4,5,12,12,11,12,2,4,1,1,11,12,3,3,1
2008,9,6,6,24,9,0,10,8,15,20,7,4,12950000,17000000,24.2,26.3,0.0,0.0,6,3,8,15,15,7,4,1,1,4,19,9,11,4,2
